,Shipment_ID,Source_City,Destination_City,Food_Product,Vehicle_Type,Road_Type,Weather_Condition,Distance_km,Shipment_Weight_kg,Fuel_Price_INR_per_litre,Avg_Speed_kmph,Transit_Time_hours,Refrigeration_Cost_INR,Toll_Cost_INR,Driver_Cost_INR,Maintenance_Cost_INR,Total_Transportation_Cost_INR,Max_Allowable_Time_hours,Cost_per_km,Delay_Hours,Delay_Ratio,Shelf_Life_Utilization,Fuel_Cost_Index,Perishability_Risk_Index
0,SHP00001,Pune,Indore,Fresh Vegetables,Non-Refrigerated Truck,State Highway,Hot,423,13989,90.57,53,55.3,13193.89,2988.03,2531.44,3465.16,97234.51,34,229.86881796690307,21.3,0.3851717902350813,1.626470588235294,38311.11,1.0058211892351878
1,SHP00002,Patna,Bhubaneswar,Frozen Peas,Mini Van,National Highway,Clear,1860,9539,102.79,62,5.25,8679.67,2653.08,6511.52,2405.66,109442.19,51,58.83988709677419,0.0,0.0,0.1029411764705882,191189.4,0.0514705882352941
2,SHP00003,Chandigarh,Raipur,Milk,Non-Refrigerated Truck,National Highway,Clear,1973,16363,90.24,40,15.32,11188.24,4961.91,7521.6,798.83,86336.85,57,43.75917384693361,0.0,0.0,0.2687719298245614,178043.52,0.1343859649122807
3,SHP00004,Ahmedabad,Chennai,Milk,Refrigerated Truck,State Highway,Rainy,1092,19413,106.67,61,36.23,6849.6,2787.44,5777.1,653.44,39893.34,42,36.53236263736263,0.0,0.0,0.8626190476190475,116483.64,0.4313095238095237
4,SHP00005,Pune,Delhi,Ready-to-Eat Meals,Refrigerated Truck,State Highway,Rainy,1826,10361,94.21,58,48.79,9059.35,547.34,6523.08,2720.49,42638.33,54,23.35067360350493,0.0,0.0,0.9035185185185184,172027.46,0.4517592592592592
5,SHP00006,Chandigarh,Kolkata,Cheese,Mini Van,Urban Road,Rainy,821,8184,103.43,30,52.63,9456.28,1746.53,7203.1,901.84,40872.0,71,49.783191230207066,0.0,0.0,0.7412676056338029,84916.03,0.3706338028169014
6,SHP00007,Chandigarh,Ranchi,Ready-to-Eat Meals,Non-Refrigerated Truck,Urban Road,Foggy,610,15020,111.48,37,59.5,5631.38,3947.25,3166.7,1028.17,104316.38,23,171.01045901639344,36.5,0.6134453781512605,2.5869565217391304,68002.8,1.6002009499451957
7,SHP00008,Kolkata,Indore,Cheese,Non-Refrigerated Truck,State Highway,Clear,1588,8651,99.65,58,7.35,14432.65,3216.58,1871.63,2526.61,60566.58,14,38.140163727959695,0.0,0.0,0.525,158244.2,0.2625
8,SHP00009,Ahmedabad,Bhopal,Fresh Vegetables,Refrigerated Truck,National Highway,Foggy,853,16593,90.77,60,5.26,9237.75,3482.95,7555.5,3669.13,115234.14,54,135.09277842907386,0.0,0.0,0.0974074074074074,77426.81,0.0487037037037037
9,SHP00010,Chennai,Raipur,Paneer,Refrigerated Truck,Urban Road,Hot,730,13503,111.58,64,44.83,14862.71,4624.67,1262.53,2303.26,80322.87,53,110.03132876712328,0.0,0.0,0.8458490566037735,81453.4,0.4229245283018867
